날짜,공급예비력
2021-06-09-07-00-00,651000
2021-06-09-08-00-00,628000
2021-06-09-09-00-00,582000
2021-06-09-10-00-00,583000
2021-06-09-11-00-00,560000
2021-06-09-12-00-00,389000
2021-06-09-13-00-00,411000
2021-06-09-14-00-00,377000
2021-06-09-15-00-00,399000
2021-06-09-16-00-00,354000
2021-06-09-17-00-00,298000
2021-06-09-18-00-00,234000
2021-06-09-19-00-00,207000
2021-06-09-20-00-00,140000
2021-06-09-21-00-00,171000
2021-06-09-22-00-00,202000
2021-06-09-23-00-00,260000
2021-06-10-00-00-00,320000
2021-06-10-01-00-00,374000
2021-06-10-02-00-00,413000
2021-06-10-03-00-00,422000
2021-06-10-04-00-00,433000
2021-06-10-05-00-00,436000
2021-06-10-06-00-00,432000
2021-06-10-07-00-00,461000
2021-06-10-08-00-00,470000
2021-06-10-09-00-00,380000
2021-06-10-10-00-00,405000
2021-06-10-11-00-00,414000
2021-06-10-12-00-00,435000
2021-06-10-13-00-00,449000
2021-06-10-14-00-00,431000
2021-06-10-15-00-00,401000
2021-06-10-16-00-00,375000
2021-06-10-17-00-00,359000
2021-06-10-18-00-00,377000
2021-06-10-19-00-00,378000
2021-06-10-20-00-00,385000
2021-06-10-21-00-00,403000
2021-06-10-22-00-00,425000
2021-06-10-23-00-00,473000
2021-06-11-00-00-00,539000
2021-06-11-01-00-00,558000
2021-06-11-02-00-00,520000
2021-06-11-03-00-00,493000
2021-06-11-04-00-00,469000
2021-06-11-05-00-00,470000
2021-06-11-06-00-00,434000
2021-06-11-07-00-00,403000
2021-06-11-08-00-00,319000
2021-06-11-09-00-00,255000
2021-06-11-10-00-00,333000
2021-06-11-11-00-00,291000
2021-06-11-12-00-00,294000
2021-06-11-13-00-00,323000
2021-06-11-14-00-00,351000
2021-06-11-15-00-00,299000
2021-06-11-16-00-00,282000
2021-06-11-17-00-00,290000
2021-06-11-18-00-00,274000
2021-06-11-19-00-00,237000
2021-06-11-20-00-00,234000
2021-06-11-21-00-00,240000
2021-06-11-22-00-00,276000
2021-06-11-23-00-00,326000
2021-06-12-00-00-00,227000
2021-06-12-01-00-00,284000
2021-06-12-02-00-00,328000
2021-06-12-03-00-00,341000
2021-06-12-04-00-00,346000
2021-06-12-05-00-00,343000
2021-06-12-06-00-00,340000
2021-06-12-07-00-00,351000
2021-06-12-08-00-00,337000
2021-06-12-09-00-00,361000
2021-06-12-10-00-00,368000
2021-06-12-11-00-00,430000
2021-06-12-12-00-00,425000
2021-06-12-13-00-00,381000
2021-06-12-14-00-00,572000
2021-06-12-15-00-00,551000
2021-06-12-16-00-00,467000
2021-06-12-17-00-00,375000
2021-06-12-18-00-00,289000
2021-06-12-19-00-00,253000
2021-06-12-20-00-00,238000
2021-06-12-21-00-00,254000
2021-06-12-22-00-00,287000
2021-06-12-23-00-00,329000
2021-06-13-00-00-00,369000
2021-06-13-01-00-00,410000
2021-06-13-02-00-00,440000
2021-06-13-03-00-00,464000
2021-06-13-04-00-00,474000
2021-06-13-05-00-00,475000
2021-06-13-06-00-00,480000
2021-06-13-07-00-00,495000
2021-06-13-08-00-00,515000
2021-06-13-09-00-00,493000
2021-06-13-10-00-00,605000
2021-06-13-11-00-00,610000
2021-06-13-12-00-00,607000
2021-06-13-13-00-00,676000
2021-06-13-14-00-00,628000
2021-06-13-15-00-00,574000
2021-06-13-16-00-00,506000
2021-06-13-17-00-00,449000
2021-06-13-18-00-00,362000
2021-06-13-19-00-00,305000
2021-06-13-20-00-00,281000
2021-06-13-21-00-00,299000
2021-06-13-22-00-00,324000
2021-06-13-23-00-00,352000
2021-06-14-00-00-00,396000
2021-06-14-01-00-00,428000
2021-06-14-02-00-00,456000
2021-06-14-03-00-00,477000
2021-06-14-04-00-00,492000
2021-06-14-05-00-00,484000
2021-06-14-06-00-00,473000
2021-06-14-07-00-00,474000
2021-06-14-08-00-00,479000
2021-06-14-09-00-00,471000
2021-06-14-10-00-00,470000
2021-06-14-11-00-00,497000
2021-06-14-12-00-00,561000
2021-06-14-13-00-00,593000
2021-06-14-14-00-00,232000
2021-06-14-15-00-00,225000
2021-06-14-16-00-00,376000
2021-06-14-17-00-00,372000
2021-06-14-18-00-00,491000
2021-06-14-19-00-00,465000
2021-06-14-20-00-00,462000
2021-06-14-21-00-00,486000
2021-06-14-22-00-00,518000
2021-06-14-23-00-00,552000
2021-06-15-00-00-00,569000
2021-06-15-01-00-00,633000
2021-06-15-02-00-00,663000
2021-06-15-03-00-00,682000
2021-06-15-04-00-00,688000
2021-06-15-05-00-00,698000
2021-06-15-06-00-00,680000
2021-06-15-07-00-00,655000
2021-06-15-08-00-00,591000
2021-06-15-09-00-00,514000
2021-06-15-10-00-00,534000
2021-06-15-11-00-00,506000
2021-06-15-12-00-00,487000
2021-06-15-13-00-00,507000
2021-06-15-14-00-00,517000
2021-06-15-15-00-00,510000
2021-06-15-16-00-00,575000
2021-06-15-17-00-00,522000
2021-06-15-18-00-00,546000
2021-06-15-19-00-00,501000
2021-06-15-20-00-00,452000
2021-06-15-21-00-00,478000
2021-06-15-22-00-00,497000
2021-06-15-23-00-00,521000
2021-06-16-00-00-00,566000
2021-06-16-01-00-00,497000
2021-06-16-02-00-00,612000
2021-06-16-03-00-00,653000
2021-06-16-04-00-00,684000
2021-06-16-05-00-00,677000
2021-06-16-06-00-00,648000
2021-06-16-07-00-00,655000
2021-06-16-08-00-00,629000
2021-06-16-09-00-00,604000
2021-06-16-10-00-00,587000
2021-06-16-11-00-00,584000
2021-06-16-12-00-00,627000
2021-06-16-13-00-00,639000
2021-06-16-14-00-00,588000
2021-06-16-15-00-00,613000
2021-06-16-16-00-00,545000
2021-06-16-17-00-00,525000
2021-06-16-18-00-00,495000
2021-06-16-19-00-00,466000
2021-06-16-20-00-00,450000
2021-06-16-21-00-00,480000
2021-06-16-22-00-00,470000
2021-06-16-23-00-00,467000
2021-06-17-00-00-00,528000
2021-06-17-01-00-00,509000
2021-06-17-02-00-00,609000
2021-06-17-03-00-00,615000
2021-06-17-04-00-00,604000
2021-06-17-05-00-00,601000
2021-06-17-06-00-00,588000
2021-06-17-07-00-00,564000
2021-06-17-08-00-00,559000
2021-06-17-09-00-00,485000
2021-06-17-10-00-00,446000
2021-06-17-11-00-00,444000
2021-06-17-12-00-00,475000
2021-06-17-13-00-00,505000
2021-06-17-14-00-00,508000
2021-06-17-15-00-00,482000
2021-06-17-16-00-00,431000
2021-06-17-17-00-00,401000
2021-06-17-18-00-00,381000
2021-06-17-19-00-00,361000
2021-06-17-20-00-00,346000
2021-06-17-21-00-00,357000
2021-06-17-22-00-00,330000
2021-06-17-23-00-00,366000
2021-06-18-00-00-00,402000
2021-06-18-01-00-00,421000
2021-06-18-02-00-00,444000
2021-06-18-03-00-00,451000
2021-06-18-04-00-00,534000
2021-06-18-05-00-00,552000
2021-06-18-06-00-00,533000
2021-06-18-07-00-00,492000
2021-06-18-08-00-00,452000
2021-06-18-09-00-00,419000
2021-06-18-10-00-00,418000
2021-06-18-11-00-00,422000
2021-06-18-12-00-00,489000
2021-06-18-13-00-00,469000
2021-06-18-14-00-00,452000
2021-06-18-15-00-00,408000
2021-06-18-16-00-00,382000
2021-06-18-17-00-00,385000
2021-06-18-18-00-00,357000
2021-06-18-19-00-00,334000
2021-06-18-20-00-00,326000
2021-06-18-21-00-00,349000
2021-06-18-22-00-00,316000
2021-06-18-23-00-00,352000
2021-06-19-00-00-00,391000
2021-06-19-01-00-00,430000
2021-06-19-02-00-00,447000
2021-06-19-03-00-00,471000
2021-06-19-04-00-00,561000
2021-06-19-05-00-00,602000
2021-06-19-06-00-00,605000
2021-06-19-07-00-00,611000
2021-06-19-08-00-00,620000
2021-06-19-09-00-00,690000
2021-06-19-10-00-00,702000
2021-06-19-11-00-00,729000
2021-06-19-12-00-00,767000
2021-06-19-13-00-00,763000
2021-06-19-14-00-00,758000
2021-06-19-15-00-00,724000
2021-06-19-16-00-00,626000
2021-06-19-17-00-00,483000
2021-06-19-18-00-00,427000
2021-06-19-19-00-00,381000
2021-06-19-20-00-00,367000
2021-06-19-21-00-00,387000
2021-06-19-22-00-00,421000
2021-06-19-23-00-00,453000
2021-06-20-00-00-00,520000
2021-06-20-01-00-00,550000
2021-06-20-02-00-00,589000
2021-06-20-03-00-00,602000
2021-06-20-04-00-00,582000
2021-06-20-05-00-00,585000
2021-06-20-06-00-00,566000
2021-06-20-07-00-00,580000
2021-06-20-08-00-00,641000
2021-06-20-09-00-00,673000
2021-06-20-10-00-00,688000
2021-06-20-11-00-00,709000
2021-06-20-12-00-00,729000
2021-06-20-13-00-00,727000
2021-06-20-14-00-00,736000
2021-06-20-15-00-00,691000
2021-06-20-16-00-00,596000
2021-06-20-17-00-00,443000
2021-06-20-18-00-00,338000
2021-06-20-19-00-00,288000
2021-06-20-20-00-00,276000
2021-06-20-21-00-00,288000
2021-06-20-22-00-00,317000
2021-06-20-23-00-00,402000
2021-06-21-00-00-00,436000
2021-06-21-01-00-00,476000
2021-06-21-02-00-00,499000
2021-06-21-03-00-00,517000
2021-06-21-04-00-00,526000
2021-06-21-05-00-00,520000
2021-06-21-06-00-00,512000
2021-06-21-07-00-00,516000
2021-06-21-08-00-00,547000
2021-06-21-09-00-00,567000
2021-06-21-10-00-00,597000
2021-06-21-11-00-00,587000
2021-06-21-12-00-00,619000
2021-06-21-13-00-00,622000
2021-06-21-14-00-00,613000
2021-06-21-15-00-00,545000
