날짜,공급예비력
2021-07-01-00-00-00,517000
2021-07-01-01-00-00,554000
2021-07-01-02-00-00,591000
2021-07-01-03-00-00,609000
2021-07-01-04-00-00,620000
2021-07-01-05-00-00,618000
2021-07-01-06-00-00,601000
2021-07-01-07-00-00,595000
2021-07-01-08-00-00,601000
2021-07-01-09-00-00,552000
2021-07-01-10-00-00,567000
2021-07-01-11-00-00,595000
2021-07-01-12-00-00,604000
2021-07-01-13-00-00,569000
2021-07-01-14-00-00,558000
2021-07-01-15-00-00,556000
2021-07-01-16-00-00,496000
2021-07-01-17-00-00,452000
2021-07-01-18-00-00,388000
2021-07-01-19-00-00,344000
2021-07-01-20-00-00,332000
2021-07-01-21-00-00,360000
2021-07-01-22-00-00,400000
2021-07-01-23-00-00,446000
2021-07-02-00-00-00,491000
2021-07-02-01-00-00,545000
2021-07-02-02-00-00,584000
2021-07-02-03-00-00,610000
2021-07-02-04-00-00,613000
2021-07-02-05-00-00,608000
2021-07-02-06-00-00,592000
2021-07-02-07-00-00,566000
2021-07-02-08-00-00,513000
2021-07-02-09-00-00,478000
2021-07-02-10-00-00,436000
2021-07-02-11-00-00,397000
2021-07-02-12-00-00,407000
2021-07-02-13-00-00,395000
2021-07-02-14-00-00,413000
2021-07-02-15-00-00,424000
2021-07-02-16-00-00,432000
2021-07-02-17-00-00,383000
2021-07-02-18-00-00,396000
2021-07-02-19-00-00,374000
2021-07-02-20-00-00,375000
2021-07-02-21-00-00,421000
2021-07-02-22-00-00,434000
2021-07-02-23-00-00,475000
2021-07-03-00-00-00,524000
2021-07-03-01-00-00,577000
2021-07-03-02-00-00,624000
2021-07-03-03-00-00,646000
2021-07-03-04-00-00,661000
2021-07-03-05-00-00,663000
2021-07-03-06-00-00,657000
2021-07-03-07-00-00,615000
2021-07-03-08-00-00,595000
2021-07-03-09-00-00,628000
2021-07-03-10-00-00,565000
2021-07-03-11-00-00,619000
2021-07-03-12-00-00,654000
2021-07-03-13-00-00,673000
2021-07-03-14-00-00,660000
2021-07-03-15-00-00,669000
2021-07-03-16-00-00,618000
2021-07-03-17-00-00,588000
2021-07-03-18-00-00,541000
2021-07-03-19-00-00,573000
2021-07-03-20-00-00,598000
2021-07-03-21-00-00,636000
2021-07-03-22-00-00,635000
2021-07-03-23-00-00,686000
2021-07-04-00-00-00,725000
2021-07-04-01-00-00,763000
2021-07-04-02-00-00,460000
2021-07-04-03-00-00,447000
2021-07-04-04-00-00,492000
2021-07-04-05-00-00,431000
2021-07-04-06-00-00,405000
2021-07-04-07-00-00,355000
2021-07-04-08-00-00,325000
2021-07-04-09-00-00,661000
2021-07-04-10-00-00,594000
2021-07-04-11-00-00,562000
2021-07-04-12-00-00,571000
2021-07-04-13-00-00,583000
2021-07-04-14-00-00,593000
2021-07-04-15-00-00,617000
2021-07-04-16-00-00,562000
2021-07-04-17-00-00,516000
2021-07-04-18-00-00,495000
2021-07-04-19-00-00,489000
2021-07-04-20-00-00,487000
2021-07-04-21-00-00,533000
2021-07-04-22-00-00,558000
2021-07-04-23-00-00,621000
2021-07-05-00-00-00,661000
2021-07-05-01-00-00,730000
2021-07-05-02-00-00,806000
2021-07-05-03-00-00,817000
2021-07-05-04-00-00,822000
2021-07-05-05-00-00,793000
2021-07-05-06-00-00,792000
2021-07-05-07-00-00,722000
2021-07-05-08-00-00,660000
2021-07-05-09-00-00,606000
2021-07-05-10-00-00,564000
2021-07-05-11-00-00,538000
2021-07-05-12-00-00,567000
2021-07-05-13-00-00,526000
2021-07-05-14-00-00,523000
2021-07-05-15-00-00,497000
2021-07-05-16-00-00,469000
2021-07-05-17-00-00,482000
2021-07-05-18-00-00,534000
2021-07-05-19-00-00,547000
2021-07-05-20-00-00,581000
2021-07-05-21-00-00,599000
2021-07-05-22-00-00,630000
2021-07-05-23-00-00,683000
2021-07-06-00-00-00,731000
2021-07-06-01-00-00,768000
2021-07-06-02-00-00,796000
2021-07-06-03-00-00,815000
2021-07-06-04-00-00,814000
2021-07-06-05-00-00,814000
2021-07-06-06-00-00,786000
2021-07-06-07-00-00,772000
2021-07-06-08-00-00,719000
2021-07-06-09-00-00,653000
2021-07-06-10-00-00,595000
2021-07-06-11-00-00,595000
2021-07-06-12-00-00,656000
2021-07-06-13-00-00,613000
2021-07-06-14-00-00,592000
2021-07-06-15-00-00,582000
2021-07-06-16-00-00,576000
2021-07-06-17-00-00,467000
2021-07-06-18-00-00,438000
2021-07-06-19-00-00,438000
2021-07-06-20-00-00,477000
2021-07-06-21-00-00,528000
2021-07-06-22-00-00,535000
2021-07-06-23-00-00,573000
2021-07-07-00-00-00,633000
2021-07-07-01-00-00,680000
2021-07-07-02-00-00,760000
2021-07-07-03-00-00,738000
2021-07-07-04-00-00,742000
2021-07-07-05-00-00,752000
2021-07-07-06-00-00,718000
2021-07-07-07-00-00,676000
2021-07-07-08-00-00,617000
2021-07-07-09-00-00,539000
2021-07-07-10-00-00,498000
2021-07-07-11-00-00,463000
2021-07-07-12-00-00,587000
2021-07-07-13-00-00,556000
2021-07-07-14-00-00,477000
2021-07-07-15-00-00,507000
2021-07-07-16-00-00,536000
2021-07-07-17-00-00,460000
2021-07-07-18-00-00,455000
2021-07-07-19-00-00,431000
2021-07-07-20-00-00,447000
2021-07-07-21-00-00,494000
2021-07-07-22-00-00,512000
2021-07-07-23-00-00,533000
2021-07-08-00-00-00,584000
2021-07-08-01-00-00,612000
2021-07-08-02-00-00,649000
2021-07-08-03-00-00,657000
2021-07-08-04-00-00,664000
2021-07-08-05-00-00,656000
