,충전소명,휴점일,이용가능시작시각,이용가능종료시각,완속충전기대수,급속충전기대수,주차료부과여부,관리업체명,관리업체전화번호,경도,위도,V2G충전기대수
52,남원읍사무소,연중무휴,00:00,23:59,2,2,N,제주특별자치도,1899-8852,126.7206785,33.27989564,0
53,남원1리마을회,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.7161553,33.27781885,0
54,남원하나로마트,연중무휴,00:00,23:59,1,1,N,한국전기차충전서비스,1522-1782,126.7215534,33.28429396,0
55,지중해리조트,연중무휴,00:00,23:59,1,0,N,지엔텔,1544-4279,126.7467717,33.2829039,0
56,한남리마을회,연중무휴,00:00,23:59,1,0,N,지엔텔,1544-4279,126.6951653,33.31185074,0
57,태흥3리마을회,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.7584735,33.29359307,0
58,백통신원 기린산장,고객외 이용불가,00:00,23:59,2,0,N,한국전기차충전서비스,1522-1782,126.639049,33.32268217,0
59,동국개발(스프링데일C.C),연중무휴,00:00,23:59,2,0,N,한국전기차충전서비스,1522-1782,126.6384879,33.3295216,1
60,수망관광휴양펜션,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.6983019,33.33650161,0
61,남원의례회관 주차장,연중무휴,00:00,23:59,0,2,N,한국전력,1899-2100,126.7114506,33.2948173,0
62,(재)테크노파크 생물종다양성연구소,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.634748,33.31464154,0
63,(재)테크노파크 생물종다양성연구소,연중무휴,00:00,23:59,0,4,N,제주테크노파크,,126.634748,33.31464154,0
64,제주공천포전지훈련센터,연중무휴,00:00,23:59,0,2,N,제주특별자치도,1899-8852,126.6409081,33.27680559,0
65,신례1리마을회,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.6272191,33.28812221,0
66,신례1리마을회,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.6272191,33.28812221,0
67,신흥1리 새마을회,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.7669485,33.304171,0
68,더빌라스오션,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.770629,33.30098062,0
69,해비치호텔앤드리조트,연중무휴,00:00,23:59,3,0,N,지엔텔,1544-4279,126.7218983,33.36231061,0
70,위미1리마을회,연중무휴,00:00,23:59,1,0,N,지엔텔,1544-4279,126.6571928,33.2737995,0
